99999	81	13	33	95	82	73	94	25	29	54	94	71	88	86	1	99	73	94	48	
81	99999	30	48	12	45	96	33	86	91	71	85	31	30	18	95	14	64	76	86	
13	30	99999	57	1	67	62	94	37	49	79	89	100	52	35	47	33	82	10	78	
33	48	57	99999	29	42	63	19	13	100	1	94	17	95	7	80	71	45	36	71	
95	12	1	29	99999	11	97	16	99	97	47	40	96	50	74	42	82	55	4	59	
82	45	67	42	11	99999	35	45	74	5	9	25	6	54	41	100	61	72	22	57	
73	96	62	63	97	35	99999	59	44	19	7	12	17	3	58	56	99	7	81	92	
94	33	94	19	16	45	59	99999	40	87	95	99	21	92	24	26	52	48	31	6	
25	86	37	13	99	74	44	40	99999	40	82	18	63	56	74	21	99	44	27	10	
29	91	49	100	97	5	19	87	40	99999	60	81	19	68	31	25	100	23	17	87	
54	71	79	1	47	9	7	95	82	60	99999	69	15	7	12	90	84	64	89	14	
94	85	89	94	40	25	12	99	18	81	69	99999	69	80	48	86	42	3	11	62	
71	31	100	17	96	6	17	21	63	19	15	69	99999	1	54	40	63	65	20	81	
88	30	52	95	50	54	3	92	56	68	7	80	1	99999	32	51	58	84	25	74	
86	18	35	7	74	41	58	24	74	31	12	48	54	32	99999	70	93	40	28	5	
1	95	47	80	42	100	56	26	21	25	90	86	40	51	70	99999	29	12	20	69	
99	14	33	71	82	61	99	52	99	100	84	42	63	58	93	29	99999	77	88	48	
73	64	82	45	55	72	7	48	44	23	64	3	65	84	40	12	77	99999	24	73	
94	76	10	36	4	22	81	31	27	17	89	11	20	25	28	20	88	24	99999	89	
48	86	78	71	59	57	92	6	10	87	14	62	81	74	5	69	48	73	89	99999	
